scope,text,layer,texttype,x_um,y_um
sky130_fd_sc_hd__and3_2,C,67,5,1.1500000000000001,0.85
sky130_fd_sc_hd__and3_2,X,67,5,2.5300000000000002,1.19
sky130_fd_sc_hd__and3_2,VPWR,68,5,0.23,2.72
sky130_fd_sc_hd__and3_2,VGND,68,5,0.23,0.0
sky130_fd_sc_hd__and3_2,VPWR,68,5,0.23,2.72
sky130_fd_sc_hd__and3_2,VGND,68,5,0.23,0.0
sky130_fd_sc_hd__and3_2,VPB,64,5,0.23,2.72
sky130_fd_sc_hd__and3_2,VNB,64,59,0.23,0.0
sky130_fd_sc_hd__and3_2,and3_2,83,44,0.0,0.0
sky130_fd_sc_hd__mux2_1,S,67,5,3.455,1.53
sky130_fd_sc_hd__mux2_1,S,67,5,2.995,1.53
sky130_fd_sc_hd__mux2_1,A1,67,5,2.535,0.85
sky130_fd_sc_hd__mux2_1,A1,67,5,2.535,1.19
sky130_fd_sc_hd__mux2_1,A0,67,5,2.075,1.19
sky130_fd_sc_hd__mux2_1,X,67,5,0.23500000000000001,0.51
sky130_fd_sc_hd__mux2_1,X,67,5,0.23500000000000001,1.87
sky130_fd_sc_hd__mux2_1,X,67,5,0.23500000000000001,2.21
sky130_fd_sc_hd__mux2_1,VGND,68,5,0.23500000000000001,0.0
sky130_fd_sc_hd__mux2_1,VPWR,68,5,0.23500000000000001,2.72
sky130_fd_sc_hd__mux2_1,VPB,64,5,0.455,2.72
sky130_fd_sc_hd__mux2_1,VNB,64,59,0.505,0.0
sky130_fd_sc_hd__mux2_1,mux2_1,83,44,0.0,0.0
sky130_fd_sc_hd__dfrtp_2,Q,67,5,8.965,2.21
sky130_fd_sc_hd__dfrtp_2,Q,67,5,8.965,1.87
sky130_fd_sc_hd__dfrtp_2,Q,67,5,8.965,1.53
sky130_fd_sc_hd__dfrtp_2,Q,67,5,8.965,0.51
sky130_fd_sc_hd__dfrtp_2,RESET_B,67,5,7.49,0.85
sky130_fd_sc_hd__dfrtp_2,D,67,5,1.61,1.53
sky130_fd_sc_hd__dfrtp_2,CLK,67,5,0.23500000000000001,1.53
sky130_fd_sc_hd__dfrtp_2,CLK,67,5,0.23500000000000001,1.19
sky130_fd_sc_hd__dfrtp_2,RESET_B,67,5,7.49,1.19
sky130_fd_sc_hd__dfrtp_2,VGND,68,5,0.23,0.0
sky130_fd_sc_hd__dfrtp_2,VPWR,68,5,0.23,2.72
sky130_fd_sc_hd__dfrtp_2,VPB,64,5,0.23,2.72
sky130_fd_sc_hd__dfrtp_2,VNB,64,59,0.23,0.0
sky130_fd_sc_hd__dfrtp_2,dfrtp_2,83,44,0.0,0.0
sky130_fd_sc_hd__a31o_2,X,67,5,0.23500000000000001,0.85
sky130_fd_sc_hd__a31o_2,B1,67,5,2.99,1.19
sky130_fd_sc_hd__a31o_2,X,67,5,0.23500000000000001,1.19
sky130_fd_sc_hd__a31o_2,X,67,5,0.23500000000000001,1.53
sky130_fd_sc_hd__a31o_2,X,67,5,0.23500000000000001,1.87
sky130_fd_sc_hd__a31o_2,A3,67,5,1.155,0.85
sky130_fd_sc_hd__a31o_2,A1,67,5,2.075,0.51
sky130_fd_sc_hd__a31o_2,B1,67,5,2.995,0.85
sky130_fd_sc_hd__a31o_2,A3,67,5,1.155,1.19
sky130_fd_sc_hd__a31o_2,A2,67,5,1.615,0.51
sky130_fd_sc_hd__a31o_2,VGND,68,5,0.23,0.0
sky130_fd_sc_hd__a31o_2,VPWR,68,5,0.23,2.72
sky130_fd_sc_hd__a31o_2,VPB,64,5,0.23,2.72
sky130_fd_sc_hd__a31o_2,VNB,64,59,0.23,0.0
sky130_fd_sc_hd__a31o_2,a31o_2,83,44,0.0,0.0
sky130_fd_sc_hd__nor2_2,B,67,5,1.155,1.19
