cell,x_um,y_um,orient
sky130_fd_sc_hd__nand2_2,155.48,16.32,S
sky130_fd_sc_hd__nor2_2,156.86,16.32,N
sky130_fd_sc_hd__nand2_2,157.78,16.32,S
sky130_fd_sc_hd__nor2_2,157.78,16.32,FS
sky130_fd_sc_hd__nor2_2,159.16,16.32,N
sky130_fd_sc_hd__nand2_2,160.08,16.32,FS
sky130_fd_sc_hd__nand2_2,162.38,16.32,FS
sky130_fd_sc_hd__o21a_2,164.68,16.32,FN
sky130_fd_sc_hd__o221a_2,164.68,16.32,N
sky130_fd_sc_hd__tapvpwrvgnd_1,164.68,16.32,FS
sky130_fd_sc_hd__xor2_2,168.82,16.32,N
sky130_fd_sc_hd__mux2_1,171.12,16.32,S
sky130_fd_sc_hd__and3_2,173.88,16.32,S
sky130_fd_sc_hd__or3_2,174.8,16.32,N
sky130_fd_sc_hd__o211a_2,177.56,16.32,S
sky130_fd_sc_hd__a21oi_2,177.56,16.32,FS
sky130_fd_sc_hd__tapvpwrvgnd_1,177.56,16.32,N
VIA_via2_3_2000_480_1_6_320_320,180.14,16.32,N
VIA_via3_4_2000_480_1_5_400_400,180.14,16.32,N
VIA_via4_5_2000_480_1_5_400_400,180.14,16.32,N
sky130_fd_sc_hd__a31o_2,180.78,16.32,FS
sky130_fd_sc_hd__a21bo_2,181.7,16.32,FN
sky130_fd_sc_hd__o21a_2,181.7,16.32,N
sky130_fd_sc_hd__or3_2,184.92,16.32,N
sky130_fd_sc_hd__nor2_2,186.3,16.32,FS
sky130_fd_sc_hd__or2_2,186.3,16.32,S
sky130_fd_sc_hd__decap_3,189.98,16.32,S
sky130_fd_sc_hd__decap_3,189.98,16.32,FN
VIA_M2M3_PR,173.19,16.66,N
VIA_M2M3_PR,176.87,16.66,N
VIA_M1M2_PR,159.39,16.83,N
VIA_L1M1_PR_MR,160.77,16.83,N
VIA_M1M2_PR,167.67,16.83,N
VIA_M1M2_PR,175.03,16.83,N
VIA_M1M2_PR,154.33,17.17,N
VIA_L1M1_PR_MR,154.79,17.17,N
VIA_L1M1_PR_MR,155.71,17.17,N
VIA_M1M2_PR,158.93,17.17,N
VIA_M1M2_PR,159.85,17.17,N
VIA_M1M2_PR,163.07,17.17,N
VIA_L1M1_PR_MR,168.59,17.17,N
VIA_M1M2_PR,170.43,17.17,N
VIA_M1M2_PR,173.65,17.17,N
VIA_L1M1_PR_MR,182.39,17.17,N
VIA_M2M3_PR,162.61,17.34,N
VIA_M2M3_PR,172.73,17.34,N
VIA_M2M3_PR,174.11,17.34,N
VIA_L1M1_PR_MR,165.825,17.495,N
VIA_L1M1_PR_MR,152.95,17.51,N
VIA_L1M1_PR_MR,153.87,17.51,N
VIA_M1M2_PR,155.25,17.51,N
VIA_M1M2_PR,157.55,17.51,N
VIA_L1M1_PR_MR,157.55,17.51,N
VIA_L1M1_PR_MR,158.01,17.51,N
VIA_M1M2_PR,158.47,17.51,N
VIA_L1M1_PR_MR,159.39,17.51,N
VIA_L1M1_PR_MR,160.31,17.51,N
VIA_M1M2_PR,161.23,17.51,N
VIA_L1M1_PR_MR,161.69,17.51,N
VIA_M1M2_PR,162.61,17.51,N
VIA_L1M1_PR_MR,164.91,17.51,N
VIA_L1M1_PR_MR,166.29,17.51,N
VIA_M1M2_PR,167.67,17.51,N
VIA_L1M1_PR_MR,167.67,17.51,N
VIA_M1M2_PR,172.27,17.51,N
VIA_L1M1_PR_MR,175.03,17.51,N
VIA_L1M1_PR_MR,175.95,17.51,N
VIA_M1M2_PR,175.95,17.51,N
VIA_M1M2_PR,176.41,17.51,N
VIA_M1M2_PR,179.63,17.51,N
VIA_M1M2_PR,180.09,17.51,N
VIA_L1M1_PR_MR,180.26,17.51,N
VIA_L1M1_PR_MR,183.31,17.51,N
VIA_M1M2_PR,183.77,17.51,N
VIA_L1M1_PR_MR,184.23,17.51,N
VIA_M1M2_PR,184.23,17.51,N
VIA_L1M1_PR_MR,184.69,17.51,N
VIA_M1M2_PR,184.69,17.51,N
VIA_L1M1_PR_MR,185.15,17.51,N
VIA_M1M2_PR,151.57,17.85,N
VIA_M1M2_PR,155.71,17.85,N
VIA_M1M2_PR,157.09,17.85,N
VIA_L1M1_PR_MR,158.93,17.85,N
VIA_M1M2_PR,159.85,17.85,N
VIA_M1M2_PR,160.77,17.85,N
VIA_L1M1_PR_MR,162.15,17.85,N
VIA_L1M1_PR_MR,163.07,17.85,N
VIA_M1M2_PR,163.99,17.85,N
VIA_M1M2_PR,164.45,17.85,N
VIA_M1M2_PR,166.75,17.85,N
VIA_L1M1_PR_MR,166.75,17.85,N
VIA_M1M2_PR,168.59,17.85,N
VIA_L1M1_PR_MR,170.43,17.85,N
VIA_M1M2_PR,173.65,17.85,N
VIA_M1M2_PR,174.11,17.85,N
VIA_L1M1_PR_MR,174.11,17.85,N
VIA_M1M2_PR,175.49,17.85,N
VIA_M1M2_PR,177.33,17.85,N
VIA_L1M1_PR_MR,178.25,17.85,N
VIA_L1M1_PR_MR,178.71,17.85,N
VIA_M1M2_PR,181.01,17.85,N
VIA_L1M1_PR_MR,185.61,17.85,N
VIA_M1M2_PR,188.83,17.85,N
VIA_M2M3_PR,157.55,18.02,N
VIA_M2M3_PR,161.69,18.02,N
VIA_M2M3_PR,166.75,18.02,N
VIA_M3M4_PR,167.9,18.02,N
VIA_M2M3_PR,168.59,18.02,N
VIA_M2M3_PR,175.95,18.02,N
VIA_M2M3_PR,180.55,18.02,N
VIA_M1M2_PR,152.49,18.19,N
VIA_L1M1_PR_MR,153.87,18.19,N
VIA_M1M2_PR,174.57,18.19,N
VIA_L1M1_PR_MR,181.47,18.19,N
VIA_M1M2_PR,186.53,18.19,N
VIA_L1M1_PR_MR,156.17,18.53,N
VIA_M1M2_PR,157.09,18.53,N
VIA_L1M1_PR_MR,163.99,18.53,N
